window_id,source_pcap,packet_count,pps,byte_count,avg_packet_size,std_packet_size,tcp_ratio,udp_ratio,http_ratio,syn_ratio,ack_ratio,syn_ack_ratio,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,src_ip_entropy,dst_ip_entropy,src_port_entropy,dst_port_entropy,mean_interarrival_ms,std_interarrival_ms,interarrival_cv,flow_count,flow_entropy,small_packet_ratio,large_packet_ratio,label,binary_label,normal_ratio,http_flood_ratio,syn_flood_ratio,udp_reflection_ratio,attack_ratio,dominant_attack,severity
12,scenario_http_flood_noisy_seed3611.pcap,32,640.0,3908,122.125,126.9524,1.0,0.0,1.0,0.15625,0.9375,0.166667,8,9,8,9,2.179945,2.418645,2.179945,2.418645,1.592359,0.380349,0.238859,15,3.60141,0.53125,0.03125,http_flood,abnormal,0.71875,0.28125,0.0,0.0,0.28125,http_flood,low
13,scenario_http_flood_noisy_seed3611.pcap,33,660.0,4417,133.8485,208.9521,1.0,0.0,1.0,0.242424,0.878788,0.275862,8,7,8,7,2.397175,2.042617,2.397175,2.042617,1.541153,0.315705,0.20485,13,3.445761,0.636364,0.060606,http_flood,abnormal,0.848485,0.151515,0.0,0.0,0.151515,http_flood,low
14,scenario_http_flood_noisy_seed3611.pcap,36,720.0,3596,99.8889,81.9155,1.0,0.0,1.0,0.166667,0.916667,0.181818,8,8,9,9,2.039074,2.218765,2.261297,2.440987,1.398884,0.311484,0.222666,16,3.704511,0.583333,0.0,http_flood,abnormal,0.777778,0.222222,0.0,0.0,0.222222,http_flood,low
15,scenario_http_flood_noisy_seed3611.pcap,35,700.0,4232,120.9143,97.716,1.0,0.0,1.0,0.171429,0.914286,0.1875,9,10,10,11,2.334611,2.493804,2.391753,2.550947,1.435588,0.31666,0.220579,19,3.943289,0.457143,0.0,http_flood,abnormal,0.628571,0.371429,0.0,0.0,0.371429,http_flood,medium
16,scenario_http_flood_noisy_seed3611.pcap,37,740.0,3826,103.4054,157.5816,1.0,0.0,1.0,0.216216,0.891892,0.242424,8,7,8,7,2.315976,2.16322,2.315976,2.16322,1.375722,0.250288,0.181932,13,3.479724,0.702703,0.027027,normal,normal,0.918919,0.081081,0.0,0.0,0.081081,none,none
17,scenario_http_flood_noisy_seed3611.pcap,37,740.0,3939,106.4595,101.2902,1.0,0.0,1.0,0.216216,0.891892,0.242424,9,10,9,10,2.403682,2.379437,2.403682,2.379437,1.340893,0.286019,0.213305,17,3.783646,0.567568,0.027027,http_flood,abnormal,0.756757,0.243243,0.0,0.0,0.243243,http_flood,low
18,scenario_http_flood_noisy_seed3611.pcap,37,740.0,4837,130.7297,143.984,1.0,0.0,1.0,0.162162,0.918919,0.176471,9,8,11,10,2.31553,2.250939,2.467142,2.491388,1.361946,0.202913,0.148987,19,3.959057,0.513514,0.054054,http_flood,abnormal,0.702703,0.297297,0.0,0.0,0.297297,http_flood,low
19,scenario_http_flood_noisy_seed3611.pcap,39,780.0,4614,118.3077,146.99,1.0,0.0,1.0,0.205128,0.897436,0.228571,7,8,10,11,2.138976,2.209804,2.478594,2.453644,1.2735,0.288956,0.226899,19,3.932713,0.589744,0.025641,http_flood,abnormal,0.769231,0.230769,0.0,0.0,0.230769,http_flood,low
20,scenario_http_flood_noisy_seed3611.pcap,38,760.0,4405,115.9211,86.3089,1.0,0.0,1.0,0.157895,0.921053,0.171429,12,12,12,12,2.577783,2.577783,2.577783,2.577783,1.329654,0.274408,0.206375,22,4.155565,0.473684,0.0,http_flood,abnormal,0.631579,0.368421,0.0,0.0,0.368421,http_flood,medium
21,scenario_http_flood_noisy_seed3611.pcap,38,760.0,5393,141.9211,182.0794,1.0,0.0,1.0,0.157895,0.921053,0.171429,10,9,11,10,2.439753,2.400022,2.492385,2.452654,1.306682,0.355398,0.271985,19,3.945039,0.526316,0.052632,http_flood,abnormal,0.710526,0.289474,0.0,0.0,0.289474,http_flood,low
22,scenario_http_flood_noisy_seed3611.pcap,40,800.0,5177,129.425,164.6507,1.0,0.0,1.0,0.2,0.9,0.222222,11,12,11,13,2.415961,2.654163,2.415961,2.704163,1.256973,0.236904,0.188472,22,4.121928,0.525,0.05,http_flood,abnormal,0.675,0.325,0.0,0.0,0.325,http_flood,medium
23,scenario_http_flood_noisy_seed3611.pcap,40,800.0,4516,112.9,125.3239,1.0,0.0,1.0,0.175,0.9,0.194444,11,9,11,9,2.58529,2.297089,2.58529,2.297089,1.26695,0.298646,0.235721,18,3.884184,0.575,0.025,http_flood,abnormal,0.775,0.225,0.0,0.0,0.225,http_flood,low
24,scenario_http_flood_noisy_seed3611.pcap,43,860.0,4084,94.9767,73.1289,1.0,0.0,1.0,0.209302,0.906977,0.230769,10,10,10,10,2.501882,2.400509,2.501882,2.400509,1.189595,0.25293,0.212619,18,3.902782,0.604651,0.0,http_flood,abnormal,0.813953,0.186047,0.0,0.0,0.186047,http_flood,low
25,scenario_http_flood_noisy_seed3611.pcap,40,800.0,5298,132.45,136.7664,1.0,0.0,1.0,0.15,0.925,0.162162,10,9,11,11,2.32572,2.362875,2.415961,2.58529,1.264847,0.271779,0.214871,20,4.003056,0.525,0.05,http_flood,abnormal,0.7,0.3,0.0,0.0,0.3,http_flood,medium
26,scenario_http_flood_noisy_seed3611.pcap,41,820.0,4524,110.3415,94.9235,1.0,0.0,1.0,0.195122,0.902439,0.216216,10,10,10,11,2.40649,2.499175,2.40649,2.547956,1.223475,0.304037,0.248503,19,3.954875,0.536585,0.0,http_flood,abnormal,0.731707,0.268293,0.0,0.0,0.268293,http_flood,low
27,scenario_http_flood_noisy_seed3611.pcap,42,840.0,5298,126.1429,160.0037,1.0,0.0,1.0,0.190476,0.904762,0.210526,11,11,13,13,2.445926,2.445926,2.62473,2.62473,1.215877,0.240753,0.198008,24,4.24946,0.52381,0.02381,http_flood,abnormal,0.666667,0.333333,0.0,0.0,0.333333,http_flood,medium
28,scenario_http_flood_noisy_seed3611.pcap,44,880.0,4793,108.9318,111.0754,1.0,0.0,1.0,0.159091,0.909091,0.175,12,10,13,11,2.552837,2.284581,2.709578,2.441322,1.157905,0.288401,0.249071,22,4.152391,0.522727,0.022727,http_flood,abnormal,0.704545,0.295455,0.0,0.0,0.295455,http_flood,low
29,scenario_http_flood_noisy_seed3611.pcap,43,860.0,5577,129.6977,142.1271,1.0,0.0,1.0,0.162791,0.930233,0.175,11,12,12,13,2.391059,2.548394,2.551445,2.676528,1.16619,0.315142,0.270232,23,4.228363,0.488372,0.046512,http_flood,abnormal,0.651163,0.348837,0.0,0.0,0.348837,http_flood,medium
30,scenario_http_flood_noisy_seed3611.pcap,44,880.0,6233,141.6591,185.2293,1.0,0.0,1.0,0.181818,0.909091,0.2,10,9,13,12,2.52776,2.322115,2.709578,2.503933,1.151207,0.233833,0.20312,23,4.215002,0.522727,0.068182,http_flood,abnormal,0.704545,0.295455,0.0,0.0,0.295455,http_flood,low
31,scenario_http_flood_noisy_seed3611.pcap,47,940.0,6472,137.7021,193.4162,1.0,0.0,1.0,0.170213,0.914894,0.186047,12,12,12,12,2.53248,2.627957,2.53248,2.627957,1.06654,0.213073,0.19978,22,4.160764,0.553191,0.042553,http_flood,abnormal,0.744681,0.255319,0.0,0.0,0.255319,http_flood,low
32,scenario_http_flood_noisy_seed3611.pcap,46,920.0,4599,99.9783,65.8227,1.0,0.0,1.0,0.173913,0.913043,0.190476,10,10,12,13,2.348737,2.383382,2.566129,2.636675,1.098267,0.257448,0.234413,23,4.202804,0.521739,0.0,http_flood,abnormal,0.695652,0.304348,0.0,0.0,0.304348,http_flood,medium
33,scenario_http_flood_noisy_seed3611.pcap,46,920.0,5755,125.1087,156.5217,1.0,0.0,1.0,0.173913,0.913043,0.190476,12,11,13,14,2.593196,2.549718,2.636675,2.696564,1.10587,0.263181,0.237985,25,4.333238,0.5,0.043478,http_flood,abnormal,0.652174,0.347826,0.0,0.0,0.347826,http_flood,medium
34,scenario_http_flood_noisy_seed3611.pcap,47,940.0,5250,111.7021,68.684,1.0,0.0,1.0,0.12766,0.93617,0.136364,13,13,15,15,2.583339,2.627957,2.702693,2.787739,1.068043,0.225232,0.210883,28,4.490759,0.425532,0.0,http_flood,abnormal,0.574468,0.425532,0.0,0.0,0.425532,http_flood,medium
35,scenario_http_flood_noisy_seed3611.pcap,50,1000.0,5446,108.92,121.1769,1.0,0.0,1.0,0.2,0.9,0.222222,12,13,12,13,2.58683,2.641928,2.58683,2.641928,1.019264,0.207753,0.203827,23,4.228758,0.56,0.02,http_flood,abnormal,0.74,0.26,0.0,0.0,0.26,http_flood,low
36,scenario_http_flood_noisy_seed3611.pcap,48,960.0,4718,98.2917,72.8071,1.0,0.0,1.0,0.1875,0.895833,0.209302,12,12,13,12,2.550614,2.584148,2.625815,2.584148,1.055256,0.243208,0.230473,23,4.209963,0.5625,0.0,http_flood,abnormal,0.75,0.25,0.0,0.0,0.25,http_flood,low
37,scenario_http_flood_noisy_seed3611.pcap,51,1020.0,8985,176.1765,229.3624,1.0,0.0,1.0,0.156863,0.921569,0.170213,15,13,16,14,2.696977,2.491809,2.832204,2.648672,0.986638,0.206029,0.208819,28,4.481153,0.470588,0.098039,http_flood,abnormal,0.627451,0.372549,0.0,0.0,0.372549,http_flood,medium
38,scenario_http_flood_noisy_seed3611.pcap,49,980.0,6647,135.6531,161.9019,1.0,0.0,1.0,0.183673,0.918367,0.2,12,12,14,14,2.561523,2.618914,2.658561,2.715953,1.039063,0.200432,0.192897,26,4.374814,0.510204,0.040816,http_flood,abnormal,0.673469,0.326531,0.0,0.0,0.326531,http_flood,medium
39,scenario_http_flood_noisy_seed3611.pcap,50,1000.0,9158,183.16,222.311,1.0,0.0,1.0,0.12,0.94,0.12766,13,14,17,18,2.609735,2.681928,2.86683,2.90683,1.018432,0.195108,0.191577,33,4.773661,0.38,0.08,http_flood,abnormal,0.5,0.5,0.0,0.0,0.5,http_flood,medium
40,scenario_http_flood_noisy_seed3611.pcap,52,1040.0,8577,164.9423,201.1854,1.0,0.0,1.0,0.134615,0.923077,0.145833,15,14,17,16,2.773297,2.720318,2.85022,2.797241,0.962842,0.208167,0.216201,31,4.647461,0.423077,0.096154,http_flood,abnormal,0.576923,0.423077,0.0,0.0,0.423077,http_flood,medium
41,scenario_http_flood_noisy_seed3611.pcap,52,1040.0,7533,144.8654,169.6562,1.0,0.0,1.0,0.134615,0.942308,0.142857,16,15,18,17,2.900321,2.693094,2.977244,2.770017,0.975824,0.205424,0.210513,33,4.748329,0.384615,0.038462,http_flood,abnormal,0.519231,0.480769,0.0,0.0,0.480769,http_flood,medium
42,scenario_http_flood_noisy_seed3611.pcap,55,1100.0,9391,170.7455,188.6944,1.0,0.0,1.0,0.127273,0.927273,0.137255,14,14,19,18,2.650167,2.676117,2.897615,2.924326,0.914296,0.202183,0.221136,35,4.82218,0.4,0.072727,http_flood,abnormal,0.527273,0.472727,0.0,0.0,0.472727,http_flood,medium
43,scenario_http_flood_noisy_seed3611.pcap,58,1160.0,8760,151.0345,170.5593,1.0,0.0,1.0,0.155172,0.931034,0.166667,15,15,18,18,2.78227,2.739335,2.898734,2.877266,0.874227,0.189497,0.21676,34,4.776,0.448276,0.051724,http_flood,abnormal,0.586207,0.413793,0.0,0.0,0.413793,http_flood,medium
44,scenario_http_flood_noisy_seed3611.pcap,57,1140.0,9597,168.3684,179.567,1.0,0.0,1.0,0.105263,0.947368,0.111111,13,13,22,22,2.618048,2.679814,3.045496,3.107261,0.87555,0.192708,0.2201,42,5.15298,0.298246,0.070175,http_flood,abnormal,0.403509,0.596491,0.0,0.0,0.596491,http_flood,medium
45,scenario_http_flood_noisy_seed3611.pcap,53,1060.0,7408,139.7736,132.4316,1.0,0.0,1.0,0.113208,0.943396,0.12,14,15,18,18,2.752049,2.748831,2.940728,2.876282,0.946618,0.228201,0.241069,34,4.817266,0.377358,0.056604,http_flood,abnormal,0.509434,0.490566,0.0,0.0,0.490566,http_flood,medium
46,scenario_http_flood_noisy_seed3611.pcap,57,1140.0,9957,174.6842,196.5771,1.0,0.0,1.0,0.140351,0.929825,0.150943,18,19,19,19,2.931823,2.905145,2.966911,2.905145,0.889714,0.197201,0.221645,36,4.872278,0.403509,0.105263,http_flood,abnormal,0.54386,0.45614,0.0,0.0,0.45614,http_flood,medium
47,scenario_http_flood_noisy_seed3611.pcap,61,1220.0,9110,149.3443,161.9953,1.0,0.0,1.0,0.114754,0.934426,0.122807,16,15,22,21,2.699756,2.718252,3.019588,3.046121,0.828815,0.164395,0.19835,41,5.065903,0.360656,0.04918,http_flood,abnormal,0.47541,0.52459,0.0,0.0,0.52459,http_flood,medium
48,scenario_http_flood_noisy_seed3611.pcap,62,1240.0,8285,133.629,132.484,1.0,0.0,1.0,0.145161,0.935484,0.155172,17,17,18,19,2.800813,2.910382,2.833071,2.987074,0.816541,0.172673,0.211469,35,4.820895,0.435484,0.016129,http_flood,abnormal,0.596774,0.403226,0.0,0.0,0.403226,http_flood,medium
49,scenario_http_flood_noisy_seed3611.pcap,61,1220.0,10571,173.2951,178.3878,1.0,0.0,1.0,0.131148,0.934426,0.140351,18,17,22,21,2.905607,2.724022,3.149814,2.914344,0.831366,0.151788,0.182576,41,5.065903,0.377049,0.114754,http_flood,abnormal,0.491803,0.508197,0.0,0.0,0.508197,http_flood,medium
50,scenario_http_flood_noisy_seed3611.pcap,61,1220.0,9890,162.1311,174.5592,1.0,0.0,1.0,0.098361,0.95082,0.103448,20,21,21,22,2.881557,3.117027,2.914344,3.149814,0.815598,0.215768,0.264552,41,5.065903,0.344262,0.04918,http_flood,abnormal,0.459016,0.540984,0.0,0.0,0.540984,http_flood,medium
51,scenario_http_flood_noisy_seed3611.pcap,63,1260.0,10455,165.9524,188.2813,1.0,0.0,1.0,0.126984,0.936508,0.135593,20,19,22,21,3.019582,2.917679,3.083074,2.981171,0.802613,0.182967,0.227965,41,5.064426,0.349206,0.079365,http_flood,abnormal,0.47619,0.52381,0.0,0.0,0.52381,http_flood,medium
52,scenario_http_flood_noisy_seed3611.pcap,63,1260.0,9774,155.1429,170.6853,1.0,0.0,1.0,0.126984,0.936508,0.135593,18,19,23,23,2.900379,2.904111,3.126802,3.056645,0.79861,0.14794,0.185247,44,5.183629,0.365079,0.047619,http_flood,abnormal,0.460317,0.539683,0.0,0.0,0.539683,http_flood,medium
53,scenario_http_flood_noisy_seed3611.pcap,64,1280.0,8614,134.5938,124.1802,1.0,0.0,1.0,0.125,0.9375,0.133333,20,20,22,22,2.988205,2.97641,3.0625,3.050705,0.782777,0.148341,0.189506,42,5.113205,0.375,0.015625,http_flood,abnormal,0.5,0.5,0.0,0.0,0.5,http_flood,medium
54,scenario_http_flood_noisy_seed3611.pcap,54,1080.0,9921,183.7222,193.6036,1.0,0.0,1.0,0.092593,0.944444,0.098039,18,17,21,20,2.895962,2.844946,3.04411,2.993094,0.937412,0.225963,0.24105,39,5.037204,0.296296,0.092593,http_flood,abnormal,0.407407,0.592593,0.0,0.0,0.592593,http_flood,medium
55,scenario_http_flood_noisy_seed3611.pcap,49,980.0,8128,165.8776,201.1491,1.0,0.0,1.0,0.142857,0.938776,0.152174,16,16,17,17,2.78101,2.838402,2.821826,2.879218,1.031041,0.254759,0.247089,32,4.701345,0.387755,0.081633,http_flood,abnormal,0.510204,0.489796,0.0,0.0,0.489796,http_flood,medium
56,scenario_http_flood_noisy_seed3611.pcap,47,940.0,7878,167.617,186.3894,1.0,0.0,1.0,0.085106,0.957447,0.088889,16,15,18,18,2.867215,2.729185,2.968382,2.899398,1.056609,0.216636,0.205029,34,4.868107,0.297872,0.06383,http_flood,abnormal,0.404255,0.595745,0.0,0.0,0.595745,http_flood,medium
57,scenario_http_flood_noisy_seed3611.pcap,49,980.0,6678,136.2857,120.2888,1.0,0.0,1.0,0.122449,0.938776,0.130435,15,15,18,18,2.77474,2.668566,2.945445,2.878049,1.027475,0.176331,0.171616,34,4.823794,0.346939,0.040816,http_flood,abnormal,0.469388,0.530612,0.0,0.0,0.530612,http_flood,medium
58,scenario_http_flood_noisy_seed3611.pcap,46,920.0,7134,155.087,152.5442,1.0,0.0,1.0,0.086957,0.956522,0.090909,16,16,17,18,2.740103,2.923187,2.783582,3.010143,1.105844,0.223702,0.202291,33,4.795089,0.304348,0.065217,http_flood,abnormal,0.413043,0.586957,0.0,0.0,0.586957,http_flood,medium
59,scenario_http_flood_noisy_seed3611.pcap,46,920.0,7547,164.0652,177.5051,1.0,0.0,1.0,0.130435,0.934783,0.139535,14,15,16,17,2.723631,2.78352,2.810588,2.870477,1.088911,0.22097,0.202927,31,4.681064,0.369565,0.065217,http_flood,abnormal,0.478261,0.521739,0.0,0.0,0.521739,http_flood,medium
60,scenario_http_flood_noisy_seed3611.pcap,46,920.0,6946,151,127.3938,1.0,0.0,1.0,0.086957,0.956522,0.090909,16,16,19,18,2.837655,2.854066,2.984501,2.941023,1.101134,0.280154,0.254423,35,4.925523,0.26087,0.043478,http_flood,abnormal,0.369565,0.630435,0.0,0.0,0.630435,http_flood,high
61,scenario_http_flood_noisy_seed3611.pcap,47,940.0,10793,229.6383,238.2213,1.0,0.0,1.0,0.085106,0.957447,0.088889,19,20,20,21,3.026997,3.000565,3.06955,3.043119,1.080218,0.255165,0.236217,39,5.112996,0.234043,0.148936,http_flood,abnormal,0.297872,0.702128,0.0,0.0,0.702128,http_flood,high
62,scenario_http_flood_noisy_seed3611.pcap,44,880.0,8993,204.3864,231.6483,1.0,0.0,1.0,0.090909,0.954545,0.095238,14,14,18,17,2.758014,2.758014,2.939832,2.894377,1.144027,0.246666,0.215612,33,4.834209,0.295455,0.136364,http_flood,abnormal,0.386364,0.613636,0.0,0.0,0.613636,http_flood,high
63,scenario_http_flood_noisy_seed3611.pcap,46,920.0,9023,196.1522,193.7694,1.0,0.0,1.0,0.086957,0.956522,0.090909,15,15,19,20,2.732117,2.707221,2.984501,3.04439,1.084688,0.221509,0.204215,37,5.02889,0.23913,0.086957,http_flood,abnormal,0.326087,0.673913,0.0,0.0,0.673913,http_flood,high
64,scenario_http_flood_noisy_seed3611.pcap,43,860.0,8517,198.0698,218.7319,1.0,0.0,1.0,0.093023,0.953488,0.097561,15,15,19,18,2.755047,2.845019,2.958649,2.984554,1.187881,0.222762,0.187529,35,4.943593,0.255814,0.116279,http_flood,abnormal,0.325581,0.674419,0.0,0.0,0.674419,http_flood,high
65,scenario_http_flood_noisy_seed3611.pcap,45,900.0,8421,187.1333,190.8044,1.0,0.0,1.0,0.066667,0.955556,0.069767,17,15,19,18,2.939356,2.763035,3.028245,2.896368,1.128544,0.204336,0.181061,35,4.924969,0.244444,0.111111,http_flood,abnormal,0.333333,0.666667,0.0,0.0,0.666667,http_flood,high
66,scenario_http_flood_noisy_seed3611.pcap,46,920.0,8570,186.3043,208.8391,1.0,0.0,1.0,0.108696,0.956522,0.113636,15,16,18,19,2.707282,2.896119,2.854127,3.042964,1.090844,0.198438,0.181912,35,4.898456,0.282609,0.065217,http_flood,abnormal,0.369565,0.630435,0.0,0.0,0.630435,http_flood,high
67,scenario_http_flood_noisy_seed3611.pcap,44,880.0,7397,168.1136,191.8864,1.0,0.0,1.0,0.090909,0.954545,0.095238,15,14,17,16,2.87424,2.668595,2.965149,2.759504,1.139857,0.307194,0.269502,31,4.726144,0.318182,0.068182,http_flood,abnormal,0.431818,0.568182,0.0,0.0,0.568182,http_flood,medium
68,scenario_http_flood_noisy_seed3611.pcap,44,880.0,7288,165.6364,146.0436,1.0,0.0,1.0,0.068182,0.954545,0.071429,13,12,20,19,2.604494,2.559039,3.047898,3.002443,1.144675,0.230338,0.201226,37,5.050341,0.204545,0.045455,http_flood,abnormal,0.272727,0.727273,0.0,0.0,0.727273,http_flood,high
69,scenario_http_flood_noisy_seed3611.pcap,44,880.0,6744,153.2727,152.8977,1.0,0.0,1.0,0.113636,0.954545,0.119048,14,14,17,17,2.712559,2.684261,2.894377,2.866079,1.150747,0.243863,0.211917,32,4.760457,0.318182,0.045455,http_flood,abnormal,0.409091,0.590909,0.0,0.0,0.590909,http_flood,medium
70,scenario_http_flood_noisy_seed3611.pcap,45,900.0,8835,196.3333,182.6571,1.0,0.0,1.0,0.044444,0.977778,0.045455,18,17,20,20,2.940813,2.95025,3.029702,3.100358,1.115658,0.240759,0.2158,38,5.130416,0.155556,0.088889,http_flood,abnormal,0.244444,0.755556,0.0,0.0,0.755556,http_flood,high
71,scenario_http_flood_noisy_seed3611.pcap,47,940.0,6739,143.383,107.7625,1.0,0.0,1.0,0.085106,0.957447,0.088889,17,17,21,21,2.915399,2.830353,3.128165,3.043119,1.086479,0.250641,0.230691,40,5.17161,0.234043,0.021277,http_flood,abnormal,0.276596,0.723404,0.0,0.0,0.723404,http_flood,high
72,scenario_http_flood_noisy_seed3611.pcap,43,860.0,7178,166.9302,123.7741,1.0,0.0,1.0,0.046512,0.976744,0.047619,13,14,18,19,2.595634,2.743519,2.912137,3.060022,1.168143,0.284687,0.243709,35,4.972549,0.186047,0.023256,http_flood,abnormal,0.27907,0.72093,0.0,0.0,0.72093,http_flood,high
73,scenario_http_flood_noisy_seed3611.pcap,46,920.0,8525,185.3261,153.0708,1.0,0.0,1.0,0.043478,0.978261,0.044444,15,15,21,21,2.748528,2.748528,3.087868,3.087868,1.083623,0.217882,0.201068,40,5.175736,0.152174,0.065217,http_flood,abnormal,0.195652,0.804348,0.0,0.0,0.804348,http_flood,high
74,scenario_http_flood_noisy_seed3611.pcap,44,880.0,9072,206.1818,214.3725,1.0,0.0,1.0,0.045455,0.977273,0.046512,16,15,20,20,2.820625,2.77517,3.047898,3.047898,1.142441,0.198622,0.173857,38,5.095795,0.136364,0.090909,http_flood,abnormal,0.181818,0.818182,0.0,0.0,0.818182,http_flood,high
75,scenario_http_flood_noisy_seed3611.pcap,49,980.0,10102,206.1633,208.4605,1.0,0.0,1.0,0.081633,0.959184,0.085106,19,20,19,20,2.918865,3.042483,2.918865,3.042483,1.027415,0.224383,0.218395,37,4.961649,0.244898,0.102041,http_flood,abnormal,0.326531,0.673469,0.0,0.0,0.673469,http_flood,high
76,scenario_http_flood_noisy_seed3611.pcap,48,960.0,8198,170.7917,163.2104,1.0,0.0,1.0,0.083333,0.958333,0.086957,18,17,22,21,3.000756,2.791287,3.209089,2.999621,1.044426,0.236331,0.226278,41,5.209963,0.1875,0.0625,http_flood,abnormal,0.229167,0.770833,0.0,0.0,0.770833,http_flood,high
77,scenario_http_flood_noisy_seed3611.pcap,50,1000.0,9272,185.44,155.4043,1.0,0.0,1.0,0.04,0.98,0.040816,20,20,23,23,3.06683,3.06683,3.18683,3.18683,1.008306,0.199002,0.197363,44,5.373661,0.14,0.04,http_flood,abnormal,0.2,0.8,0.0,0.0,0.8,http_flood,high
78,scenario_http_flood_noisy_seed3611.pcap,50,1000.0,8896,177.92,179.8853,1.0,0.0,1.0,0.08,0.96,0.083333,13,14,21,21,2.561608,2.621537,3.06683,3.081928,1.010325,0.226514,0.224199,40,5.148758,0.24,0.08,http_flood,abnormal,0.32,0.68,0.0,0.0,0.68,http_flood,high
