packet_index,label,src_ip,dst_ip,protocol
74,http_flood,10.0.0.1,10.0.0.50,TCP
75,http_flood,10.0.0.50,10.0.0.1,TCP
76,http_flood,10.0.0.1,10.0.0.50,TCP
77,http_flood,10.0.0.1,10.0.0.50,TCP
78,http_flood,10.0.0.50,10.0.0.1,TCP
79,http_flood,10.0.0.1,10.0.0.50,TCP
80,http_flood,10.0.0.1,10.0.0.50,TCP
81,http_flood,10.0.0.50,10.0.0.1,TCP
82,http_flood,10.0.0.1,10.0.0.50,TCP
83,syn_flood,172.27.158.68,10.0.0.50,TCP
84,http_flood,10.0.0.1,10.0.0.50,TCP
85,http_flood,10.0.0.50,10.0.0.1,TCP
86,http_flood,10.0.0.1,10.0.0.50,TCP
87,http_flood,10.0.0.1,10.0.0.50,TCP
88,http_flood,10.0.0.50,10.0.0.1,TCP
89,http_flood,10.0.0.1,10.0.0.50,TCP
90,http_flood,10.0.0.1,10.0.0.50,TCP
91,http_flood,10.0.0.50,10.0.0.1,TCP
92,http_flood,10.0.0.1,10.0.0.50,TCP
93,http_flood,10.0.0.1,10.0.0.50,TCP
94,http_flood,10.0.0.50,10.0.0.1,TCP
95,http_flood,10.0.0.1,10.0.0.50,TCP
96,http_flood,10.0.0.1,10.0.0.50,TCP
97,http_flood,10.0.0.50,10.0.0.1,TCP
98,http_flood,10.0.0.1,10.0.0.50,TCP
99,http_flood,10.0.0.1,10.0.0.50,TCP
100,http_flood,10.0.0.50,10.0.0.1,TCP
101,http_flood,10.0.0.1,10.0.0.50,TCP
102,http_flood,10.0.0.1,10.0.0.50,TCP
103,http_flood,10.0.0.50,10.0.0.1,TCP
104,http_flood,10.0.0.1,10.0.0.50,TCP
105,http_flood,10.0.0.1,10.0.0.50,TCP
106,http_flood,10.0.0.50,10.0.0.1,TCP
107,http_flood,10.0.0.1,10.0.0.50,TCP
108,http_flood,10.0.0.1,10.0.0.50,TCP
109,http_flood,10.0.0.50,10.0.0.1,TCP
110,http_flood,10.0.0.1,10.0.0.50,TCP
111,normal,10.0.0.4,10.0.0.50,TCP
112,normal,10.0.0.4,10.0.0.50,TCP
113,normal,10.0.0.50,10.0.0.4,TCP
114,normal,10.0.0.50,10.0.0.4,TCP
115,normal,10.0.0.4,10.0.0.50,TCP
116,normal,10.0.0.50,10.0.0.4,TCP
117,http_flood,10.0.0.1,10.0.0.50,TCP
118,http_flood,10.0.0.50,10.0.0.1,TCP
119,http_flood,10.0.0.1,10.0.0.50,TCP
120,normal,10.0.0.4,10.0.0.50,TCP
121,normal,10.0.0.4,10.0.0.50,TCP
122,normal,10.0.0.4,10.0.0.50,TCP
123,http_flood,10.0.0.1,10.0.0.50,TCP
124,http_flood,10.0.0.50,10.0.0.1,TCP
125,http_flood,10.0.0.1,10.0.0.50,TCP
126,http_flood,10.0.0.1,10.0.0.50,TCP
127,http_flood,10.0.0.50,10.0.0.1,TCP
128,http_flood,10.0.0.1,10.0.0.50,TCP
129,normal,10.0.0.4,10.0.0.50,TCP
130,normal,10.0.0.50,10.0.0.4,TCP
131,normal,10.0.0.4,10.0.0.50,TCP
132,normal,10.0.0.4,10.0.0.50,TCP
133,normal,10.0.0.50,10.0.0.4,TCP
134,normal,10.0.0.4,10.0.0.50,TCP
135,syn_flood,172.27.25.232,10.0.0.50,TCP
136,normal,10.0.0.4,10.0.0.50,TCP
137,normal,10.0.0.50,10.0.0.4,TCP
138,normal,10.0.0.4,10.0.0.50,TCP
139,http_flood,10.0.0.1,10.0.0.50,TCP
140,http_flood,10.0.0.50,10.0.0.1,TCP
141,http_flood,10.0.0.1,10.0.0.50,TCP
142,normal,10.0.0.4,10.0.0.50,TCP
143,normal,10.0.0.50,10.0.0.4,TCP
144,normal,10.0.0.4,10.0.0.50,TCP
145,http_flood,10.0.0.1,10.0.0.50,TCP
146,http_flood,10.0.0.50,10.0.0.1,TCP
147,http_flood,10.0.0.1,10.0.0.50,TCP
148,normal,10.0.0.4,10.0.0.50,TCP
149,normal,10.0.0.50,10.0.0.4,TCP
150,normal,10.0.0.4,10.0.0.50,TCP
151,http_flood,10.0.0.1,10.0.0.50,TCP
152,http_flood,10.0.0.50,10.0.0.1,TCP
153,http_flood,10.0.0.1,10.0.0.50,TCP
154,http_flood,10.0.0.1,10.0.0.50,TCP
155,http_flood,10.0.0.50,10.0.0.1,TCP
156,http_flood,10.0.0.1,10.0.0.50,TCP
157,http_flood,10.0.0.1,10.0.0.50,TCP
158,http_flood,10.0.0.50,10.0.0.1,TCP
159,http_flood,10.0.0.1,10.0.0.50,TCP
160,http_flood,10.0.0.1,10.0.0.50,TCP
161,http_flood,10.0.0.50,10.0.0.1,TCP
162,http_flood,10.0.0.1,10.0.0.50,TCP
163,http_flood,10.0.0.1,10.0.0.50,TCP
164,http_flood,10.0.0.50,10.0.0.1,TCP
165,http_flood,10.0.0.1,10.0.0.50,TCP
166,http_flood,10.0.0.1,10.0.0.50,TCP
167,http_flood,10.0.0.50,10.0.0.1,TCP
168,http_flood,10.0.0.1,10.0.0.50,TCP
169,http_flood,10.0.0.1,10.0.0.50,TCP
170,http_flood,10.0.0.50,10.0.0.1,TCP
171,http_flood,10.0.0.1,10.0.0.50,TCP
172,http_flood,10.0.0.1,10.0.0.50,TCP
173,http_flood,10.0.0.50,10.0.0.1,TCP
174,http_flood,10.0.0.1,10.0.0.50,TCP
175,http_flood,10.0.0.1,10.0.0.50,TCP
176,http_flood,10.0.0.50,10.0.0.1,TCP
177,http_flood,10.0.0.1,10.0.0.50,TCP
178,http_flood,10.0.0.1,10.0.0.50,TCP
179,http_flood,10.0.0.50,10.0.0.1,TCP
180,http_flood,10.0.0.1,10.0.0.50,TCP
181,http_flood,10.0.0.1,10.0.0.50,TCP
182,http_flood,10.0.0.50,10.0.0.1,TCP
183,http_flood,10.0.0.1,10.0.0.50,TCP
184,http_flood,10.0.0.1,10.0.0.50,TCP
185,syn_flood,172.25.119.193,10.0.0.50,TCP
186,http_flood,10.0.0.50,10.0.0.1,TCP
187,http_flood,10.0.0.1,10.0.0.50,TCP
188,normal,10.0.0.4,10.0.0.50,TCP
189,http_flood,10.0.0.1,10.0.0.50,TCP
190,http_flood,10.0.0.50,10.0.0.1,TCP
191,http_flood,10.0.0.1,10.0.0.50,TCP
192,http_flood,10.0.0.1,10.0.0.50,TCP
193,http_flood,10.0.0.50,10.0.0.1,TCP
194,http_flood,10.0.0.1,10.0.0.50,TCP
195,http_flood,10.0.0.1,10.0.0.50,TCP
196,http_flood,10.0.0.50,10.0.0.1,TCP
197,http_flood,10.0.0.1,10.0.0.50,TCP
198,http_flood,10.0.0.1,10.0.0.50,TCP
199,http_flood,10.0.0.50,10.0.0.1,TCP
200,http_flood,10.0.0.1,10.0.0.50,TCP
201,http_flood,10.0.0.1,10.0.0.50,TCP
202,http_flood,10.0.0.50,10.0.0.1,TCP
203,http_flood,10.0.0.1,10.0.0.50,TCP
204,http_flood,10.0.0.1,10.0.0.50,TCP
205,http_flood,10.0.0.50,10.0.0.1,TCP
206,http_flood,10.0.0.1,10.0.0.50,TCP
207,http_flood,10.0.0.1,10.0.0.50,TCP
208,http_flood,10.0.0.50,10.0.0.1,TCP
209,http_flood,10.0.0.1,10.0.0.50,TCP
210,http_flood,10.0.0.1,10.0.0.50,TCP
211,http_flood,10.0.0.50,10.0.0.1,TCP
212,http_flood,10.0.0.1,10.0.0.50,TCP
213,http_flood,10.0.0.1,10.0.0.50,TCP
214,http_flood,10.0.0.50,10.0.0.1,TCP
215,http_flood,10.0.0.1,10.0.0.50,TCP
216,http_flood,10.0.0.1,10.0.0.50,TCP
217,http_flood,10.0.0.50,10.0.0.1,TCP
218,http_flood,10.0.0.1,10.0.0.50,TCP
219,http_flood,10.0.0.1,10.0.0.50,TCP
220,http_flood,10.0.0.50,10.0.0.1,TCP
221,http_flood,10.0.0.1,10.0.0.50,TCP
222,http_flood,10.0.0.1,10.0.0.50,TCP
223,http_flood,10.0.0.50,10.0.0.1,TCP
224,http_flood,10.0.0.1,10.0.0.50,TCP
225,syn_flood,172.21.94.89,10.0.0.50,TCP
226,http_flood,10.0.0.1,10.0.0.50,TCP
227,http_flood,10.0.0.50,10.0.0.1,TCP
228,http_flood,10.0.0.1,10.0.0.50,TCP
229,http_flood,10.0.0.1,10.0.0.50,TCP
230,http_flood,10.0.0.50,10.0.0.1,TCP
231,http_flood,10.0.0.1,10.0.0.50,TCP
232,http_flood,10.0.0.1,10.0.0.50,TCP
233,http_flood,10.0.0.50,10.0.0.1,TCP
234,http_flood,10.0.0.1,10.0.0.50,TCP
235,http_flood,10.0.0.1,10.0.0.50,TCP
236,http_flood,10.0.0.50,10.0.0.1,TCP
237,http_flood,10.0.0.1,10.0.0.50,TCP
238,http_flood,10.0.0.1,10.0.0.50,TCP
239,http_flood,10.0.0.50,10.0.0.1,TCP
240,http_flood,10.0.0.1,10.0.0.50,TCP
241,http_flood,10.0.0.1,10.0.0.50,TCP
242,http_flood,10.0.0.50,10.0.0.1,TCP
243,http_flood,10.0.0.1,10.0.0.50,TCP
244,http_flood,10.0.0.1,10.0.0.50,TCP
245,http_flood,10.0.0.50,10.0.0.1,TCP
246,http_flood,10.0.0.1,10.0.0.50,TCP
247,http_flood,10.0.0.1,10.0.0.50,TCP
248,http_flood,10.0.0.50,10.0.0.1,TCP
249,http_flood,10.0.0.1,10.0.0.50,TCP
250,http_flood,10.0.0.1,10.0.0.50,TCP
251,http_flood,10.0.0.50,10.0.0.1,TCP
252,http_flood,10.0.0.1,10.0.0.50,TCP
253,http_flood,10.0.0.1,10.0.0.50,TCP
254,http_flood,10.0.0.50,10.0.0.1,TCP
255,http_flood,10.0.0.1,10.0.0.50,TCP
256,http_flood,10.0.0.1,10.0.0.50,TCP
257,http_flood,10.0.0.50,10.0.0.1,TCP
258,http_flood,10.0.0.1,10.0.0.50,TCP
259,http_flood,10.0.0.1,10.0.0.50,TCP
260,http_flood,10.0.0.50,10.0.0.1,TCP
261,http_flood,10.0.0.1,10.0.0.50,TCP
262,http_flood,10.0.0.1,10.0.0.50,TCP
263,http_flood,10.0.0.50,10.0.0.1,TCP
264,http_flood,10.0.0.1,10.0.0.50,TCP
265,http_flood,10.0.0.1,10.0.0.50,TCP
266,http_flood,10.0.0.50,10.0.0.1,TCP
267,http_flood,10.0.0.1,10.0.0.50,TCP
268,syn_flood,10.169.203.118,10.0.0.50,TCP
269,http_flood,10.0.0.1,10.0.0.50,TCP
270,http_flood,10.0.0.50,10.0.0.1,TCP
271,http_flood,10.0.0.1,10.0.0.50,TCP
272,http_flood,10.0.0.1,10.0.0.50,TCP
273,http_flood,10.0.0.50,10.0.0.1,TCP
274,http_flood,10.0.0.1,10.0.0.50,TCP
275,http_flood,10.0.0.1,10.0.0.50,TCP
276,http_flood,10.0.0.50,10.0.0.1,TCP
277,http_flood,10.0.0.1,10.0.0.50,TCP
278,http_flood,10.0.0.1,10.0.0.50,TCP
279,http_flood,10.0.0.50,10.0.0.1,TCP
280,http_flood,10.0.0.1,10.0.0.50,TCP
281,http_flood,10.0.0.1,10.0.0.50,TCP
282,http_flood,10.0.0.50,10.0.0.1,TCP
283,http_flood,10.0.0.1,10.0.0.50,TCP
284,http_flood,10.0.0.1,10.0.0.50,TCP
285,http_flood,10.0.0.50,10.0.0.1,TCP
286,http_flood,10.0.0.1,10.0.0.50,TCP
287,http_flood,10.0.0.1,10.0.0.50,TCP
288,http_flood,10.0.0.50,10.0.0.1,TCP
289,http_flood,10.0.0.1,10.0.0.50,TCP
290,http_flood,10.0.0.1,10.0.0.50,TCP
291,http_flood,10.0.0.50,10.0.0.1,TCP
292,http_flood,10.0.0.1,10.0.0.50,TCP
293,http_flood,10.0.0.1,10.0.0.50,TCP
294,http_flood,10.0.0.50,10.0.0.1,TCP
295,http_flood,10.0.0.1,10.0.0.50,TCP
296,http_flood,10.0.0.1,10.0.0.50,TCP
297,http_flood,10.0.0.50,10.0.0.1,TCP
298,http_flood,10.0.0.1,10.0.0.50,TCP
299,syn_flood,192.168.94.231,10.0.0.50,TCP
300,http_flood,10.0.0.1,10.0.0.50,TCP
301,http_flood,10.0.0.50,10.0.0.1,TCP
302,http_flood,10.0.0.1,10.0.0.50,TCP
303,http_flood,10.0.0.1,10.0.0.50,TCP
304,http_flood,10.0.0.50,10.0.0.1,TCP
305,http_flood,10.0.0.1,10.0.0.50,TCP
306,http_flood,10.0.0.1,10.0.0.50,TCP
307,http_flood,10.0.0.50,10.0.0.1,TCP
308,http_flood,10.0.0.1,10.0.0.50,TCP
309,http_flood,10.0.0.1,10.0.0.50,TCP
310,http_flood,10.0.0.50,10.0.0.1,TCP
311,http_flood,10.0.0.1,10.0.0.50,TCP
312,http_flood,10.0.0.1,10.0.0.50,TCP
313,http_flood,10.0.0.50,10.0.0.1,TCP
314,http_flood,10.0.0.1,10.0.0.50,TCP
315,http_flood,10.0.0.1,10.0.0.50,TCP
316,http_flood,10.0.0.50,10.0.0.1,TCP
317,http_flood,10.0.0.1,10.0.0.50,TCP
318,http_flood,10.0.0.1,10.0.0.50,TCP
319,http_flood,10.0.0.50,10.0.0.1,TCP
320,http_flood,10.0.0.1,10.0.0.50,TCP
321,http_flood,10.0.0.3,10.0.0.50,TCP
322,http_flood,10.0.0.50,10.0.0.3,TCP
323,http_flood,10.0.0.3,10.0.0.50,TCP
324,http_flood,10.0.0.1,10.0.0.50,TCP
325,http_flood,10.0.0.50,10.0.0.1,TCP
326,http_flood,10.0.0.1,10.0.0.50,TCP
327,http_flood,10.0.0.3,10.0.0.50,TCP
328,syn_flood,10.120.74.199,10.0.0.50,TCP
329,syn_flood,172.21.239.3,10.0.0.50,TCP
330,syn_flood,10.108.12.139,10.0.0.50,TCP
331,http_flood,10.0.0.1,10.0.0.50,TCP
332,syn_flood,192.168.198.123,10.0.0.50,TCP
333,syn_flood,172.16.199.146,10.0.0.50,TCP
334,syn_flood,192.168.236.118,10.0.0.50,TCP
335,syn_flood,192.168.170.244,10.0.0.50,TCP
336,http_flood,10.0.0.3,10.0.0.50,TCP
337,http_flood,10.0.0.50,10.0.0.3,TCP
338,http_flood,10.0.0.3,10.0.0.50,TCP
339,http_flood,10.0.0.3,10.0.0.50,TCP
340,syn_flood,192.168.216.29,10.0.0.50,TCP
341,syn_flood,192.168.160.175,10.0.0.50,TCP
342,syn_flood,10.62.254.134,10.0.0.50,TCP
343,http_flood,10.0.0.1,10.0.0.50,TCP
344,syn_flood,10.118.71.34,10.0.0.50,TCP
345,syn_flood,10.247.34.253,10.0.0.50,TCP
346,syn_flood,172.31.150.164,10.0.0.50,TCP
347,syn_flood,192.168.86.138,10.0.0.50,TCP
348,syn_flood,10.93.193.124,10.0.0.50,TCP
349,syn_flood,10.160.148.144,10.0.0.50,TCP
350,http_flood,10.0.0.3,10.0.0.50,TCP
351,http_flood,10.0.0.50,10.0.0.3,TCP
352,http_flood,10.0.0.3,10.0.0.50,TCP
353,syn_flood,172.29.234.205,10.0.0.50,TCP
354,http_flood,10.0.0.3,10.0.0.50,TCP
355,syn_flood,10.63.242.187,10.0.0.50,TCP
356,syn_flood,10.121.60.84,10.0.0.50,TCP
357,http_flood,10.0.0.1,10.0.0.50,TCP
358,syn_flood,192.168.238.230,10.0.0.50,TCP
359,syn_flood,10.171.74.245,10.0.0.50,TCP
360,syn_flood,10.229.84.165,10.0.0.50,TCP
361,syn_flood,192.168.64.213,10.0.0.50,TCP
362,http_flood,10.0.0.3,10.0.0.50,TCP
363,http_flood,10.0.0.50,10.0.0.3,TCP
364,http_flood,10.0.0.3,10.0.0.50,TCP
365,http_flood,10.0.0.3,10.0.0.50,TCP
366,syn_flood,192.168.51.25,10.0.0.50,TCP
367,syn_flood,172.30.44.108,10.0.0.50,TCP
368,syn_flood,192.168.176.138,10.0.0.50,TCP
369,syn_flood,192.168.163.186,10.0.0.50,TCP
370,http_flood,10.0.0.1,10.0.0.50,TCP
371,syn_flood,10.126.105.31,10.0.0.50,TCP
372,syn_flood,192.168.52.139,10.0.0.50,TCP
373,syn_flood,192.168.113.225,10.0.0.50,TCP
374,http_flood,10.0.0.3,10.0.0.50,TCP
375,http_flood,10.0.0.50,10.0.0.3,TCP
376,http_flood,10.0.0.3,10.0.0.50,TCP
377,syn_flood,172.18.197.73,10.0.0.50,TCP
378,http_flood,10.0.0.3,10.0.0.50,TCP
379,syn_flood,10.120.213.82,10.0.0.50,TCP
380,syn_flood,172.28.223.47,10.0.0.50,TCP
381,syn_flood,172.21.242.42,10.0.0.50,TCP
382,syn_flood,192.168.234.41,10.0.0.50,TCP
383,syn_flood,10.254.29.38,10.0.0.50,TCP
384,http_flood,10.0.0.1,10.0.0.50,TCP
385,syn_flood,192.168.28.53,10.0.0.50,TCP
386,syn_flood,10.116.251.217,10.0.0.50,TCP
387,http_flood,10.0.0.3,10.0.0.50,TCP
388,http_flood,10.0.0.50,10.0.0.3,TCP
389,http_flood,10.0.0.3,10.0.0.50,TCP
390,http_flood,10.0.0.3,10.0.0.50,TCP
391,syn_flood,192.168.3.181,10.0.0.50,TCP
392,normal,10.0.0.4,10.0.0.50,TCP
393,syn_flood,10.252.168.230,10.0.0.50,TCP
394,syn_flood,10.66.14.254,10.0.0.50,TCP
395,syn_flood,172.19.84.196,10.0.0.50,TCP
396,syn_flood,172.17.7.197,10.0.0.50,TCP
397,syn_flood,192.168.230.123,10.0.0.50,TCP
398,syn_flood,192.168.98.201,10.0.0.50,TCP
399,http_flood,10.0.0.1,10.0.0.50,TCP
400,http_flood,10.0.0.3,10.0.0.50,TCP
401,http_flood,10.0.0.50,10.0.0.3,TCP
402,http_flood,10.0.0.3,10.0.0.50,TCP
403,http_flood,10.0.0.3,10.0.0.50,TCP
404,syn_flood,192.168.43.85,10.0.0.50,TCP
405,syn_flood,192.168.110.167,10.0.0.50,TCP
406,syn_flood,10.111.159.102,10.0.0.50,TCP
407,syn_flood,10.185.38.176,10.0.0.50,TCP
408,syn_flood,192.168.19.50,10.0.0.50,TCP
409,syn_flood,172.21.186.152,10.0.0.50,TCP
410,syn_flood,192.168.117.80,10.0.0.50,TCP
411,http_flood,10.0.0.3,10.0.0.50,TCP
412,http_flood,10.0.0.50,10.0.0.3,TCP
413,http_flood,10.0.0.3,10.0.0.50,TCP
414,http_flood,10.0.0.3,10.0.0.50,TCP
415,syn_flood,10.23.205.186,10.0.0.50,TCP
416,http_flood,10.0.0.1,10.0.0.50,TCP
417,syn_flood,172.22.45.100,10.0.0.50,TCP
418,syn_flood,10.238.78.40,10.0.0.50,TCP
419,syn_flood,192.168.47.192,10.0.0.50,TCP
420,syn_flood,192.168.139.52,10.0.0.50,TCP
421,syn_flood,172.21.210.123,10.0.0.50,TCP
422,syn_flood,10.97.48.76,10.0.0.50,TCP
423,syn_flood,10.191.199.111,10.0.0.50,TCP
424,syn_flood,172.24.43.216,10.0.0.50,TCP
425,http_flood,10.0.0.3,10.0.0.50,TCP
426,http_flood,10.0.0.50,10.0.0.3,TCP
427,http_flood,10.0.0.3,10.0.0.50,TCP
428,http_flood,10.0.0.3,10.0.0.50,TCP
429,syn_flood,192.168.38.46,10.0.0.50,TCP
430,http_flood,10.0.0.1,10.0.0.50,TCP
431,syn_flood,10.133.227.226,10.0.0.50,TCP
432,syn_flood,172.27.73.128,10.0.0.50,TCP
433,syn_flood,192.168.10.188,10.0.0.50,TCP
434,syn_flood,172.23.62.193,10.0.0.50,TCP
435,syn_flood,192.168.187.86,10.0.0.50,TCP
436,syn_flood,172.27.195.52,10.0.0.50,TCP
437,syn_flood,172.29.83.182,10.0.0.50,TCP
438,syn_flood,172.25.67.112,10.0.0.50,TCP
439,http_flood,10.0.0.3,10.0.0.50,TCP
440,http_flood,10.0.0.50,10.0.0.3,TCP
441,http_flood,10.0.0.3,10.0.0.50,TCP
442,http_flood,10.0.0.3,10.0.0.50,TCP
443,syn_flood,192.168.178.216,10.0.0.50,TCP
444,http_flood,10.0.0.1,10.0.0.50,TCP
445,syn_flood,192.168.171.119,10.0.0.50,TCP
446,syn_flood,192.168.89.216,10.0.0.50,TCP
447,syn_flood,192.168.156.173,10.0.0.50,TCP
448,syn_flood,10.129.127.176,10.0.0.50,TCP
449,syn_flood,172.30.120.168,10.0.0.50,TCP
450,syn_flood,172.16.45.247,10.0.0.50,TCP
451,syn_flood,172.27.189.248,10.0.0.50,TCP
452,syn_flood,192.168.61.31,10.0.0.50,TCP
453,http_flood,10.0.0.3,10.0.0.50,TCP
454,http_flood,10.0.0.50,10.0.0.3,TCP
455,http_flood,10.0.0.3,10.0.0.50,TCP
456,http_flood,10.0.0.3,10.0.0.50,TCP
457,syn_flood,192.168.117.227,10.0.0.50,TCP
458,http_flood,10.0.0.1,10.0.0.50,TCP
459,syn_flood,172.27.165.243,10.0.0.50,TCP
460,syn_flood,192.168.82.78,10.0.0.50,TCP
461,normal,10.0.0.4,10.0.0.50,TCP
462,syn_flood,10.38.94.29,10.0.0.50,TCP
463,syn_flood,10.103.95.237,10.0.0.50,TCP
464,syn_flood,10.135.72.248,10.0.0.50,TCP
465,syn_flood,10.239.112.213,10.0.0.50,TCP
466,syn_flood,172.22.190.119,10.0.0.50,TCP
467,http_flood,10.0.0.3,10.0.0.50,TCP
468,http_flood,10.0.0.50,10.0.0.3,TCP
469,http_flood,10.0.0.3,10.0.0.50,TCP
470,syn_flood,192.168.96.142,10.0.0.50,TCP
471,http_flood,10.0.0.3,10.0.0.50,TCP
472,http_flood,10.0.0.1,10.0.0.50,TCP
473,syn_flood,172.28.252.127,10.0.0.50,TCP
474,syn_flood,192.168.164.198,10.0.0.50,TCP
475,syn_flood,172.18.30.179,10.0.0.50,TCP
476,syn_flood,10.96.68.26,10.0.0.50,TCP
477,syn_flood,10.252.196.247,10.0.0.50,TCP
478,syn_flood,192.168.6.133,10.0.0.50,TCP
479,syn_flood,172.21.142.10,10.0.0.50,TCP
480,syn_flood,192.168.156.110,10.0.0.50,TCP
481,http_flood,10.0.0.3,10.0.0.50,TCP
482,http_flood,10.0.0.50,10.0.0.3,TCP
483,http_flood,10.0.0.3,10.0.0.50,TCP
484,http_flood,10.0.0.3,10.0.0.50,TCP
485,syn_flood,172.22.103.41,10.0.0.50,TCP
486,http_flood,10.0.0.1,10.0.0.50,TCP
487,syn_flood,192.168.13.108,10.0.0.50,TCP
488,syn_flood,192.168.26.210,10.0.0.50,TCP
489,syn_flood,10.57.34.32,10.0.0.50,TCP
490,syn_flood,10.8.190.133,10.0.0.50,TCP
491,syn_flood,10.197.73.3,10.0.0.50,TCP
492,syn_flood,192.168.189.164,10.0.0.50,TCP
493,syn_flood,10.86.230.90,10.0.0.50,TCP
494,syn_flood,192.168.90.85,10.0.0.50,TCP
495,http_flood,10.0.0.3,10.0.0.50,TCP
496,http_flood,10.0.0.50,10.0.0.3,TCP
497,http_flood,10.0.0.3,10.0.0.50,TCP
498,http_flood,10.0.0.3,10.0.0.50,TCP
499,syn_flood,192.168.47.61,10.0.0.50,TCP
500,http_flood,10.0.0.1,10.0.0.50,TCP
501,syn_flood,172.17.148.222,10.0.0.50,TCP
502,syn_flood,172.17.106.157,10.0.0.50,TCP
503,syn_flood,10.50.222.9,10.0.0.50,TCP
504,syn_flood,10.134.117.241,10.0.0.50,TCP
505,syn_flood,10.203.170.230,10.0.0.50,TCP
506,syn_flood,10.195.33.251,10.0.0.50,TCP
507,syn_flood,10.195.59.205,10.0.0.50,TCP
508,syn_flood,10.103.153.253,10.0.0.50,TCP
509,http_flood,10.0.0.3,10.0.0.50,TCP
510,http_flood,10.0.0.50,10.0.0.3,TCP
511,http_flood,10.0.0.3,10.0.0.50,TCP
